,sentence,age,gender,language,paths
0,عليك أن تفي بوعدك.,twenties,male,Arabic,common_voice_ar_20401372.wav
1,يشبه أباه.,twenties,female,Arabic,common_voice_ar_19216539.wav
2,لن يُغَيِّرَ ذلك شيئًا.,fourties,male,Arabic,common_voice_ar_19375914.wav
3,كيف حال الجميع ؟,not_defined,not_defined,Arabic,common_voice_ar_19220386.wav
4,أتعرف كيف تلعب الشطرنج ؟,not_defined,not_defined,Arabic,common_voice_ar_19803329.wav
5,أريد أن آكل في مطعم الليلة.,thirties,female,Arabic,common_voice_ar_20026829.wav
6,لقد مضت أربعون سنة.,twenties,male,Arabic,common_voice_ar_19529991.wav
7,ماذا تطبخ ؟,thirties,female,Arabic,common_voice_ar_19083375.wav
8,في وقت واحد سيتم إنشاء عشرات من دول الكومنولث التعاونية,not_defined,not_defined,Arabic,common_voice_ar_19380209.wav
9,هذه فكرة جيدة!,not_defined,not_defined,Arabic,common_voice_ar_19476981.wav
10,هل تحبان بعضكما البعض بشدة ؟,not_defined,not_defined,Arabic,common_voice_ar_19205882.wav
11,انتقد بورك نفسه بسبب الابتسامة,thirties,male,Arabic,common_voice_ar_19204113.wav
12,جلست بجانبي.,not_defined,not_defined,Arabic,common_voice_ar_21100471.wav
13,مهما قلت عنه ، اظن انه صادق.,fourties,male,Arabic,common_voice_ar_19850609.wav
14,ما أسهل أن يكتسب المرء عادات سيئة!,thirties,male,Arabic,common_voice_ar_19285863.wav
15,سيسعدني أن أساعدك في أي وقت.,not_defined,not_defined,Arabic,common_voice_ar_19471957.wav
16,متى وصلت ؟,not_defined,not_defined,Arabic,common_voice_ar_20312018.wav
17,من بحث وجد.,thirties,male,Arabic,common_voice_ar_19285859.wav
18,.في كندا لا يمكنك شرب الكحول حتى تبلغ سن العشرين,twenties,female,Arabic,common_voice_ar_19541088.wav
19,كعكتك شهية.,not_defined,not_defined,Arabic,common_voice_ar_19220365.wav
20,لكل داء دواء,twenties,male,Arabic,common_voice_ar_19651948.wav
21,إنا نعيش في عصر الذّرّة.,not_defined,not_defined,Arabic,common_voice_ar_19231212.wav
22,أنا مهندس حاسب آلي.,not_defined,not_defined,Arabic,common_voice_ar_19647457.wav
23,ملأت كيسها بالتفاح.,not_defined,not_defined,Arabic,common_voice_ar_19212444.wav
24,أيمكنك رؤية الفرق ؟,twenties,male,Arabic,common_voice_ar_19233448.wav
25,ليس عليك أن تدرس.,twenties,male,Arabic,common_voice_ar_21262385.wav
